"","Wilaya","year","density"
"189","Adrar","X2008",0.9
"190","Chlef","X2008",209
"191","Laghouat","X2008",18.2
"192","Oum El Bouaghi","X2008",91.6
"193","Batna","X2008",91.9
"194","Bejaia","X2008",279.3
"195","Biskra","X2008",34.4
"196","Bechar","X2008",1.7
"197","Blida","X2008",636
"198","Bouira","X2008",156.7
"199","Tamanrasset","X2008",0.3
"200","Tebessa","X2008",45.6
"201","Tlemcen","X2008",104.8
"202","Tiaret","X2008",41
"203","Tizi-Ouzou","X2008",316
"204","Djelfa","X2008",16.4
"205","Jijel","X2008",247.2
"206","Setif","X2008",229.1
"207","Saida","X2008",48.9
"208","Skikda","X2008",223.2
"209","Sidi Bel Abbes","X2008",66.5
"210","Annaba","X2008",423.6
"211","Guelma","X2008",117.6
"212","Constantine","X2008",429.1
"213","Medea","X2008",92.5
"214","Mostaganem","X2008",338.9
"215","M’Sila","X2008",52.9
"216","Mascara","X2008",132
"217","Ouargla","X2008",2.6
"218","Oran","X2008",685.6
"219","El Bayadh","X2008",2.9
"220","Illizi","X2008",0.2
"221","Bordj Bou Arreridj","X2008",152.7
"222","Boumerdes","X2008",539
"223","El Tarf","X2008",122.3
"224","Tindouf","X2008",0.3
"225","Tissemsilt","X2008",93.4
"226","El Oued","X2008",11.9
"227","Khenchela","X2008",39.4
"228","Souk Ahras","X2008",96.5
"229","Tipaza","X2008",320.2
"230","Mila","X2008",81.8
"231","Ain Defla","X2008",156.6
"232","Naama","X2008",6.4
"233","Ain Temouchent","X2008",156.1
"234","Ghardaia","X2008",4.2
"235","Relizane","X2008",149.1
